CITIES,BBSR,CTC,RKL,BAM,SBP,PURI,BLS,BDK,BARIPADA,BLGR,JHSG,BARGARH,SUNABEDA,RAYAGADA,BWIP,PARADIP,BARBIL,KDJR,KORAPUT
BBSR,NA,25.9,340,172,276,68.9,196,127,250,365,375,350,485,412,424,105,348,181,527
CTC,25.7,NA,319,198,265,82.3,175,106,229,357,317,344,485,438,418,83.3,249,160,538
RKL,340,319,NA,478,176,397,418,348,362,340,132,243,625,514,402,397,116,220,605
BAM,172,198,478,NA,327,177,367,298,421,206,379,1763,397,132,306,177,379,177,327
SBP,276,265,176,327,NA,438,605,485,438,605,327,485,327,605,438,485,605,177,605
PURI,68.9,82.3,397,177,485,NA,438,177,605,327,438,177,605,438,177,605,438,177,438
BLS,196,175,418,350,177,196,NA,350,196,478,350,478,350,478,196,350,250,196,350
BDK,127,106,348,177,412,177,478,NA,177,478,177,412,177,412,478,412,177,478,412
BARIPADA,250,229,362,412,127,3267,196,127,NA,412,196,127,412,196,127,412,196,127,412
BLGR,365,357,340,127,327,127,412,127,196,NA,412,127,196,412,196,127,412,127,412
JHSG,375,317,132,412,196,340,412,340,196,412,NA,412,196,340,412,196,340,412,196
BARGARH,350,344,243,127,412,196,412,127,412,196,412,NA,27,412,196,412,327,127,312
SUNABEDA,350,485,625,196,340,127,196,340,127,196,340,196,NA,340,196,327,340,96,127
RAYAGADA,412,438,514,340,27,375,340,27,375,340,327,27,340,NA,27,340,375,127,340
BWIP,424,418,402,127,327,424,127,327,375,424,127,375,424,127,NA,424,127,375,424
PARADIP,105,83.3,397,375,250,327,250,375,250,327,250,375,250,327,250,NA,375,250,327
BARBIL,348,249,116,375,327,424,250,375,327,424,250,327,375,424,327,375,NA,424,327
KDJR,182,160,220,527,375,320,520,42,370,574,327,424,500,375,111,"9 h 18 min (527 km)
via NH16 and SH 37
8 h 28 min without traffic
 This route has tolls.","8 h 56 min (424 km)
via NH16 and NH59
8 h 37 min without traffic
 This route has tolls.",NA,"6 h 19 min (327 km)
via NH157
5 h 54 min without traffic"
KORAPUT,527,538,605,27,327,527,127,327,527,127,327,527,127,327,527,127,534,"6 h 19 min (327 km)
via NH157
5 h 54 min without traffic",NA
