CITIES,BBSR,CTC,RKL,BAM,SBP,PURI,BLS,BDK,BARIPADA,BLGR,JHSG,BARGARH,SUNABEDA,RAYAGADA,BWIP,PARADIP,BARBIL,KDJR,KORAPUT
BBSR,NA,39mins,7.15h,2.48h,5.30h,1.25h,3.32h,2.23h,4.38h,7.44h,7.50h,7.13h,8.21h,7.45h,8.56h,2.11h,7.43h,3.36h,9.18h
CTC,39mins,NA,6.52h,3.19h,5.17h,1.40h,3.07h,1.58h,4.13h,7.24h,6.25h,6.51h,8.21h,8.15h,8.39h,1.45h,5.23h,3.11h,9.30h
RKL,7.15h,6.52h,NA,9.36h,3.33h,8.08h,8.20h,7.11h,7.38h,6.50h,2.56h,4.50h,12.22h,10.16h,8.06h,8.11h,2.55h,4.36h,11.51h
BAM,2.48h,3.19h,9.36h,NA,6.19h,3.19h,6.12h,5.02h,7.17h,7.07h,7.27h,8.00h,8.11h,2.56h,7.47h,3.19h,7.07h,3.19h,6.15h
SBP,5.30h,5.17h,3.33h,6.19h,NA,8.15h,11.51h,8.51h,8.30h,11.51h,6.19h,8.21h,6.19h,11.51h,8.15h,8.21h,11.51h,3.19h,11.51h
PURI,1.25h,1.40h,8.08h,3.19h,8.21h,NA,8.15h,3.19h,11.51h,6.19h,8.15h,3.19h,11.51h,8.51h,3.19h,11.51h,8.15h,3.19h,8.00h
BLS,3.32h,3.07h,8.20h,7.13h,3.19h,3.32h,NA,7.13h,3.32h,9.36h,7.13h,9.36h,7.13h,9.36h,3.32h,7.13h,4.38h,3.32h,7.13h
BDK,2.23h,1.58h,7.11h,3.19h,7.45h,3.19h,9.36h,NA,3.19h,9.36h,3.19h,7.45h,3.19h,7.45h,9.36h,7.15h,3.19h,9.00h,6.45h
BARIPADA,4.38h,4.13h,7.38h,7.45h,2.23h,6.19h,3.32h,2.23h,NA,7.45h,2.45h,2.43h,7.45h,3.59h,2.23h,2.23h,1.58h,8.20h,7.45h
BLGR,7.44h,7.24h,6.50h,2.30h,6.19h,2.23h,7.45h,3.32h,4.38h,NA,7.45h,2.23h,3.32h,6.50h,7.24h,2.23h,7.45h,3.32h,8.20h
JHSG,7.50h,6.25h,2.56h,7.45h,3.32h,7.15h,3.32h,5.30h,4.13h,7.44h,NA,8.21h,8.56h,7.15h,7.45h,2.23h,3.32h,2.56h,6.25h
BARGARH,7.13h,6.51h,4.50h,2.23h,7.45h,3.32h,2.23h,7.13h,6.30h,5.23h,2.23h,4.00h,3.56h,7.00h,3.54h,7.54h,6.19h,2.23h,30mins
SUNABEDA,8.21h,8.00h,12.22h,3.32h,7.15h,2.23h,6.19h,5.35h,2.23h,8.43h,7.25h,3.43h,NA,3.45h,2.56h,6.19h,7.15h,3.40h,2.23h
RAYAGADA,7.45h,8.15h,10.15h,7.15h,2.23h,7.50h,7.15h,2.23h,7.45h,7.15h,6.19h,2.45h,4.54h,NA,7.15h,6.43h,3.54h,4.34h,7.15h
BWIP,8.56h,8.39h,8.06h,"2,23h",6.19h,8.56h,2.23h,6.29h,7.40h,8.56h,2.23h,4.00h,6.45h,3.45h,NA,8.56h,2.43h,6.19h,7.10h
PARADIP,2.11h,1.45h,8.11h,7.50h,4.38h,6.19h,4.38h,7.50h,5.34h,3.56h,7.56h,6.56h,4.38h,8.11h,2.37h,NA,7.49h,4.38h,6.18h
BARBIL,7.43h,7.10h,2.55h,7.50h,6.19h,8.56h,4.38h,7.50h,6.19h,8.56h,4.38h,6.19h,7.50h,2.55h,3.36h,4.45h,NA,8.56h,6.19h
KDJR,3.36h,3.11h,4.45h,9.18h,7.50h,6.19h,8.56h,3.36h,6.19h,7.50h,6.19h,8.56h,9.18h,7.50h,6.18h,9.18h,1.05h,NA,12.00h
KORAPUT,9.18h,9.00h,11.51h,2.23h,6.19h,9.30h,6.19h,2.23h,4.35h,5.43h,6.19h,9.18h,2.23h,3.45h,4.54h,2.23h,30mins,45mins,NA
